n,clave,huella,empresa,fuente,token,id_externo,titulo,ubicacion,url,publicada,descubierta,cerrada,prefiltro,motivo,tipo_rol,puntaje,desglose,banderas,estado,notificada
17,greenhouse:sezzle:7116327003,sezzle:chargebackoperationsinterncolombia,Sezzle,greenhouse,sezzle,7116327003,Chargeback Operations Intern (Colombia),"Colombia, Remote",https://job-boards.greenhouse.io/sezzle/jobs/7116327003,2025-09-12T17:35:54-04:00,2026-09-21T16:33:41-05:00,,no,titulo fuera de perfil,automatizacion,,,,nueva,
18,greenhouse:sezzle:7979879003,sezzle:complianceanalyst,Sezzle,greenhouse,sezzle,7979879003,Compliance Analyst,"Mexico, Remote",https://job-boards.greenhouse.io/sezzle/jobs/7979879003,2026-08-27T17:55:44-04:00,2026-09-21T16:33:41-05:00,,no,titulo fuera de perfil,desarrollo,,,,nueva,
19,greenhouse:sezzle:7979878003,sezzle:complianceanalyst,Sezzle,greenhouse,sezzle,7979878003,Compliance Analyst,"Bogota, Colombia",https://job-boards.greenhouse.io/sezzle/jobs/7979878003,2026-08-27T17:54:32-04:00,2026-09-21T16:33:41-05:00,,no,titulo fuera de perfil,desarrollo,,,,nueva,
20,greenhouse:sezzle:7995774003,sezzle:complianceintern,Sezzle,greenhouse,sezzle,7995774003,Compliance Intern,"Mexico, Remote",https://job-boards.greenhouse.io/sezzle/jobs/7995774003,2026-09-15T10:58:38-04:00,2026-09-21T16:33:41-05:00,,no,titulo fuera de perfil,desarrollo,,,,nueva,
21,greenhouse:sezzle:7995696003,sezzle:complianceintern,Sezzle,greenhouse,sezzle,7995696003,Compliance Intern,"Bogota, Colombia",https://job-boards.greenhouse.io/sezzle/jobs/7995696003,2026-09-15T10:51:12-04:00,2026-09-21T16:33:41-05:00,,no,titulo fuera de perfil,desarrollo,,,,nueva,
22,greenhouse:sezzle:7790299003,sezzle:customerserviceagent,Sezzle,greenhouse,sezzle,7790299003,Customer Service Agent,"Bogota, Colombia",https://job-boards.greenhouse.io/sezzle/jobs/7790299003,2026-06-30T12:52:26-04:00,2026-09-21T16:33:41-05:00,,no,titulo fuera de perfil,desarrollo,,,,nueva,
23,greenhouse:sezzle:7560122003,sezzle:customerserviceagentenglishfrench,Sezzle,greenhouse,sezzle,7560122003,Customer Service Agent ( English/ French),"Bogota, Colombia",https://job-boards.greenhouse.io/sezzle/jobs/7560122003,2025-12-18T17:09:30-05:00,2026-09-21T16:33:41-05:00,,no,titulo fuera de perfil,desarrollo,,,,nueva,
24,greenhouse:sezzle:7691331003,sezzle:customerserviceagentenglishfrenchcanada,Sezzle,greenhouse,sezzle,7691331003,Customer Service Agent ( English/ French) (Canada),"Canada, Remote",https://job-boards.greenhouse.io/sezzle/jobs/7691331003,2026-04-08T16:53:07-04:00,2026-09-21T16:33:41-05:00,,no,titulo fuera de perfil,desarrollo,,,,nueva,
25,greenhouse:sezzle:7694238003,sezzle:datainfrastructureengineerintern,Sezzle,greenhouse,sezzle,7694238003,Data Infrastructure Engineer Intern,"Colombia, Remote",https://job-boards.greenhouse.io/sezzle/jobs/7694238003,2026-04-09T13:46:26-04:00,2026-09-21T16:33:41-05:00,,si,ubicacion compatible,desarrollo,4.9,"stack 4.2 (bruto 10.5) | seniority 4 (intern, desarrollo) | contexto 8",,nueva,
26,greenhouse:sezzle:7906562003,sezzle:datainfrastructureengineerintern,Sezzle,greenhouse,sezzle,7906562003,Data Infrastructure Engineer Intern,Peru,https://job-boards.greenhouse.io/sezzle/jobs/7906562003,2026-08-19T16:24:07-04:00,2026-09-21T16:33:41-05:00,,no,ubicacion fuera de Colombia/LATAM/remoto global,desarrollo,,,,nueva,
27,greenhouse:sezzle:7984528003,sezzle:directorlitigationandregulatory,Sezzle,greenhouse,sezzle,7984528003,"Director, Litigation and Regulatory","United States, Remote",https://job-boards.greenhouse.io/sezzle/jobs/7984528003,2026-09-02T16:50:10-04:00,2026-09-21T16:33:41-05:00,,no,titulo fuera de perfil,desarrollo,,,,nueva,
28,greenhouse:sezzle:7793171003,sezzle:directorofregulatoryreporting,Sezzle,greenhouse,sezzle,7793171003,Director of Regulatory Reporting,"United States, Remote",https://job-boards.greenhouse.io/sezzle/jobs/7793171003,2026-07-02T17:13:08-04:00,2026-09-21T16:33:41-05:00,,no,titulo fuera de perfil,desarrollo,,,,nueva,
29,greenhouse:sezzle:7806055003,sezzle:executiverecruiter,Sezzle,greenhouse,sezzle,7806055003,Executive Recruiter,"Mexico, Remote",https://job-boards.greenhouse.io/sezzle/jobs/7806055003,2026-07-15T12:37:45-04:00,2026-09-21T16:33:41-05:00,,no,titulo fuera de perfil,desarrollo,,,,nueva,
30,greenhouse:sezzle:7645397003,sezzle:executiverecruiter,Sezzle,greenhouse,sezzle,7645397003,Executive Recruiter,"Brazil, Remote",https://job-boards.greenhouse.io/sezzle/jobs/7645397003,2026-02-25T19:54:54-05:00,2026-09-21T16:33:41-05:00,,no,titulo fuera de perfil,desarrollo,,,,nueva,
31,greenhouse:sezzle:7632729003,sezzle:executiverecruiter,Sezzle,greenhouse,sezzle,7632729003,Executive Recruiter,"Bogota, Colombia",https://job-boards.greenhouse.io/sezzle/jobs/7632729003,2026-02-15T15:27:59-05:00,2026-09-21T16:33:41-05:00,,no,titulo fuera de perfil,desarrollo,,,,nueva,
32,greenhouse:sezzle:7632730003,sezzle:executiverecruiter,Sezzle,greenhouse,sezzle,7632730003,Executive Recruiter,Latin America,https://job-boards.greenhouse.io/sezzle/jobs/7632730003,2026-07-14T13:27:35-04:00,2026-09-21T16:33:41-05:00,,no,titulo fuera de perfil,desarrollo,,,,nueva,
33,greenhouse:sezzle:7794738003,sezzle:financialanalyst,Sezzle,greenhouse,sezzle,7794738003,Financial Analyst,"United States, Remote",https://job-boards.greenhouse.io/sezzle/jobs/7794738003,2026-07-03T14:33:44-04:00,2026-09-21T16:33:41-05:00,,no,titulo fuera de perfil,desarrollo,,,,nueva,
34,greenhouse:sezzle:7984979003,sezzle:frauddataanalyst,Sezzle,greenhouse,sezzle,7984979003,Fraud Data Analyst,"Brazil, Remote",https://job-boards.greenhouse.io/sezzle/jobs/7984979003,2026-09-03T10:40:59-04:00,2026-09-21T16:33:41-05:00,,no,ubicacion fuera de Colombia/LATAM/remoto global,desarrollo,,,,nueva,
35,greenhouse:sezzle:7985454003,sezzle:frauddataanalyst,Sezzle,greenhouse,sezzle,7985454003,Fraud Data Analyst,"Chile, Remote",https://job-boards.greenhouse.io/sezzle/jobs/7985454003,2026-09-03T10:43:09-04:00,2026-09-21T16:33:41-05:00,,no,ubicacion fuera de Colombia/LATAM/remoto global,desarrollo,,,,nueva,
36,greenhouse:sezzle:7985449003,sezzle:frauddataanalyst,Sezzle,greenhouse,sezzle,7985449003,Fraud Data Analyst,"Argentina, Remote",https://job-boards.greenhouse.io/sezzle/jobs/7985449003,2026-09-03T10:41:39-04:00,2026-09-21T16:33:41-05:00,,no,ubicacion fuera de Colombia/LATAM/remoto global,desarrollo,,,,nueva,
37,greenhouse:sezzle:7984978003,sezzle:frauddataanalyst,Sezzle,greenhouse,sezzle,7984978003,Fraud Data Analyst,"Mexico, Remote",https://job-boards.greenhouse.io/sezzle/jobs/7984978003,2026-09-03T10:40:58-04:00,2026-09-21T16:33:41-05:00,,no,ubicacion fuera de Colombia/LATAM/remoto global,desarrollo,,,,nueva,
38,greenhouse:sezzle:7984977003,sezzle:frauddataanalyst,Sezzle,greenhouse,sezzle,7984977003,Fraud Data Analyst,"Bogota, Colombia",https://job-boards.greenhouse.io/sezzle/jobs/7984977003,2026-09-03T10:40:56-04:00,2026-09-21T16:33:41-05:00,,si,ubicacion compatible,desarrollo,0,"stack 1.2 (bruto 3) | seniority 6 (sin_marca, desarrollo) | contexto 10",KNOCKOUT: stack 1.2 bajo el piso de 2.0,nueva,
39,greenhouse:sezzle:7984970003,sezzle:frauddataanalyst,Sezzle,greenhouse,sezzle,7984970003,Fraud Data Analyst,Latin America,https://job-boards.greenhouse.io/sezzle/jobs/7984970003,2026-09-03T10:40:54-04:00,2026-09-21T16:33:41-05:00,,si,ubicacion compatible,desarrollo,0,"stack 1.2 (bruto 3) | seniority 6 (sin_marca, desarrollo) | contexto 10",KNOCKOUT: stack 1.2 bajo el piso de 2.0,nueva,
40,greenhouse:sezzle:7116700003,sezzle:fraudoperationsintern,Sezzle,greenhouse,sezzle,7116700003,Fraud Operations Intern,"Colombia, Remote",https://job-boards.greenhouse.io/sezzle/jobs/7116700003,2025-09-12T17:53:12-04:00,2026-09-21T16:33:41-05:00,,no,titulo fuera de perfil,automatizacion,,,,nueva,
41,greenhouse:sezzle:7739982003,sezzle:graphicdesignvideoeditingintern,Sezzle,greenhouse,sezzle,7739982003,Graphic Design - Video Editing Intern,"Bogota, Colombia",https://job-boards.greenhouse.io/sezzle/jobs/7739982003,2026-05-19T10:55:56-04:00,2026-09-21T16:33:41-05:00,,no,titulo fuera de perfil,desarrollo,,,,nueva,
42,greenhouse:sezzle:6229823003,sezzle:humanresourcesinterncolombia,Sezzle,greenhouse,sezzle,6229823003,Human Resources Intern (Colombia),"Colombia, Remote",https://job-boards.greenhouse.io/sezzle/jobs/6229823003,2024-10-03T10:58:22-04:00,2026-09-21T16:33:41-05:00,,no,titulo fuera de perfil,desarrollo,,,,nueva,
43,greenhouse:sezzle:7796342003,sezzle:itoperationsanalyst,Sezzle,greenhouse,sezzle,7796342003,IT Operations Analyst,"Mexico, Remote",https://job-boards.greenhouse.io/sezzle/jobs/7796342003,2026-07-06T16:48:21-04:00,2026-09-21T16:33:41-05:00,,no,titulo fuera de perfil,automatizacion,,,,nueva,
44,greenhouse:sezzle:7796444003,sezzle:itoperationsanalyst,Sezzle,greenhouse,sezzle,7796444003,IT Operations Analyst,Latin America,https://job-boards.greenhouse.io/sezzle/jobs/7796444003,2026-07-06T17:36:27-04:00,2026-09-21T16:33:41-05:00,,no,titulo fuera de perfil,automatizacion,,,,nueva,
45,greenhouse:sezzle:7796349003,sezzle:itoperationsanalyst,Sezzle,greenhouse,sezzle,7796349003,IT Operations Analyst,"Brazil, Remote",https://job-boards.greenhouse.io/sezzle/jobs/7796349003,2026-07-06T16:58:07-04:00,2026-09-21T16:33:41-05:00,,no,titulo fuera de perfil,automatizacion,,,,nueva,
46,greenhouse:sezzle:7796431003,sezzle:itoperationsanalyst,Sezzle,greenhouse,sezzle,7796431003,IT Operations Analyst,"Argentina, Remote",https://job-boards.greenhouse.io/sezzle/jobs/7796431003,2026-07-06T17:31:50-04:00,2026-09-21T16:33:41-05:00,,no,titulo fuera de perfil,automatizacion,,,,nueva,
47,greenhouse:sezzle:6066974003,sezzle:itoperationsanalystcolombia,Sezzle,greenhouse,sezzle,6066974003,IT Operations Analyst (Colombia),"Bogota, Colombia",https://job-boards.greenhouse.io/sezzle/jobs/6066974003,2024-07-24T16:31:54-04:00,2026-09-21T16:33:41-05:00,,no,titulo fuera de perfil,automatizacion,,,,nueva,
48,greenhouse:sezzle:7504352003,sezzle:itoperationsintern,Sezzle,greenhouse,sezzle,7504352003,IT Operations Intern,"Bogota, Colombia",https://job-boards.greenhouse.io/sezzle/jobs/7504352003,2025-10-21T14:44:58-04:00,2026-09-21T16:33:41-05:00,,no,titulo fuera de perfil,automatizacion,,,,nueva,
49,greenhouse:sezzle:7907182003,sezzle:itoperationsintern,Sezzle,greenhouse,sezzle,7907182003,IT Operations Intern,Peru,https://job-boards.greenhouse.io/sezzle/jobs/7907182003,2026-08-19T17:46:57-04:00,2026-09-21T16:33:41-05:00,,no,titulo fuera de perfil,automatizacion,,,,nueva,
50,greenhouse:sezzle:6110231003,sezzle:juniorsoftwareengineerargentina,Sezzle,greenhouse,sezzle,6110231003,Junior Software Engineer (Argentina),"Argentina, Remote",https://job-boards.greenhouse.io/sezzle/jobs/6110231003,2024-09-05T13:18:39-04:00,2026-09-21T16:33:41-05:00,,no,ubicacion fuera de Colombia/LATAM/remoto global,desarrollo,,,,nueva,
51,greenhouse:sezzle:7541127003,sezzle:juniorsoftwareengineerbrazil,Sezzle,greenhouse,sezzle,7541127003,Junior Software Engineer (Brazil),"Brazil, Remote",https://job-boards.greenhouse.io/sezzle/jobs/7541127003,2025-11-26T17:26:54-05:00,2026-09-21T16:33:41-05:00,,no,ubicacion fuera de Colombia/LATAM/remoto global,desarrollo,,,,nueva,
52,greenhouse:sezzle:6110233003,sezzle:juniorsoftwareengineerchile,Sezzle,greenhouse,sezzle,6110233003,Junior Software Engineer (Chile),"Chile, Remote",https://job-boards.greenhouse.io/sezzle/jobs/6110233003,2024-09-05T13:20:00-04:00,2026-09-21T16:33:41-05:00,,no,ubicacion fuera de Colombia/LATAM/remoto global,desarrollo,,,,nueva,
53,greenhouse:sezzle:6110238003,sezzle:juniorsoftwareengineercolombia,Sezzle,greenhouse,sezzle,6110238003,Junior Software Engineer (Colombia),"Colombia, Remote",https://job-boards.greenhouse.io/sezzle/jobs/6110238003,2024-09-05T13:22:43-04:00,2026-09-21T16:33:41-05:00,,si,ubicacion compatible,desarrollo,6.2,"stack 3.8 (bruto 9.5) | seniority 9 (junior, desarrollo) | contexto 8",,nueva,
54,greenhouse:sezzle:5761145003,sezzle:juniorsoftwareengineerlatam,Sezzle,greenhouse,sezzle,5761145003,Junior Software Engineer (LATAM),Latin America,https://job-boards.greenhouse.io/sezzle/jobs/5761145003,2023-10-02T10:36:06-04:00,2026-09-21T16:33:41-05:00,,si,ubicacion compatible,desarrollo,6.2,"stack 3.8 (bruto 9.5) | seniority 9 (junior, desarrollo) | contexto 8",,nueva,
55,greenhouse:sezzle:7598109003,sezzle:juniorsoftwareengineermexico,Sezzle,greenhouse,sezzle,7598109003,Junior Software Engineer (Mexico),"Mexico, Remote",https://job-boards.greenhouse.io/sezzle/jobs/7598109003,2026-01-20T13:15:14-05:00,2026-09-21T16:33:41-05:00,,no,ubicacion fuera de Colombia/LATAM/remoto global,desarrollo,,,,nueva,
56,greenhouse:sezzle:6275706003,sezzle:juniorsoftwareengineerturkey,Sezzle,greenhouse,sezzle,6275706003,Junior Software Engineer (Turkey),"Türkiye, Remote",https://job-boards.greenhouse.io/sezzle/jobs/6275706003,2024-11-18T17:29:35-05:00,2026-09-21T16:33:41-05:00,,no,ubicacion fuera de Colombia/LATAM/remoto global,desarrollo,,,,nueva,
57,greenhouse:sezzle:6668069003,sezzle:juniorsoftwareengineerwithaccountingexperience,Sezzle,greenhouse,sezzle,6668069003,Junior Software Engineer with Accounting Experience,"Türkiye, Remote",https://job-boards.greenhouse.io/sezzle/jobs/6668069003,2025-07-31T17:59:52-04:00,2026-09-21T16:33:41-05:00,,no,ubicacion fuera de Colombia/LATAM/remoto global,desarrollo,,,,nueva,
58,greenhouse:sezzle:6668066003,sezzle:juniorsoftwareengineerwithaccountingexperienceargentina,Sezzle,greenhouse,sezzle,6668066003,Junior Software Engineer with Accounting Experience (Argentina),"Argentina, Remote",https://job-boards.greenhouse.io/sezzle/jobs/6668066003,2025-10-23T17:01:42-04:00,2026-09-21T16:33:41-05:00,,no,ubicacion fuera de Colombia/LATAM/remoto global,desarrollo,,,,nueva,
59,greenhouse:sezzle:7541130003,sezzle:juniorsoftwareengineerwithaccountingexperiencebrazil,Sezzle,greenhouse,sezzle,7541130003,Junior Software Engineer with Accounting Experience (Brazil),"Brazil, Remote",https://job-boards.greenhouse.io/sezzle/jobs/7541130003,2025-11-26T17:31:03-05:00,2026-09-21T16:33:41-05:00,,no,ubicacion fuera de Colombia/LATAM/remoto global,desarrollo,,,,nueva,
60,greenhouse:sezzle:6668067003,sezzle:juniorsoftwareengineerwithaccountingexperiencechile,Sezzle,greenhouse,sezzle,6668067003,Junior Software Engineer with Accounting Experience (Chile),"Chile, Remote",https://job-boards.greenhouse.io/sezzle/jobs/6668067003,2025-10-23T17:01:43-04:00,2026-09-21T16:33:41-05:00,,no,ubicacion fuera de Colombia/LATAM/remoto global,desarrollo,,,,nueva,
61,greenhouse:sezzle:6668068003,sezzle:juniorsoftwareengineerwithaccountingexperiencelatam,Sezzle,greenhouse,sezzle,6668068003,Junior Software Engineer with Accounting Experience (LATAM),"Colombia, Remote",https://job-boards.greenhouse.io/sezzle/jobs/6668068003,2025-10-23T17:01:45-04:00,2026-09-21T16:33:41-05:00,,si,ubicacion compatible,desarrollo,6.8,"stack 5.0 (bruto 12.5) | seniority 9 (junior, desarrollo) | contexto 8",,nueva,
62,greenhouse:sezzle:6668065003,sezzle:juniorsoftwareengineerwithaccountingexperiencelatam,Sezzle,greenhouse,sezzle,6668065003,Junior Software Engineer with Accounting Experience (LATAM),Latin America,https://job-boards.greenhouse.io/sezzle/jobs/6668065003,2025-07-31T17:53:57-04:00,2026-09-21T16:33:41-05:00,,si,ubicacion compatible,desarrollo,6.8,"stack 5.0 (bruto 12.5) | seniority 9 (junior, desarrollo) | contexto 8",,nueva,
63,greenhouse:sezzle:7598107003,sezzle:juniorsoftwareengineerwithaccountingexperiencemexico,Sezzle,greenhouse,sezzle,7598107003,Junior Software Engineer with Accounting Experience (Mexico),"Mexico, Remote",https://job-boards.greenhouse.io/sezzle/jobs/7598107003,2026-01-20T13:09:31-05:00,2026-09-21T16:33:41-05:00,,no,ubicacion fuera de Colombia/LATAM/remoto global,desarrollo,,,,nueva,
64,greenhouse:sezzle:7996052003,sezzle:legalintern,Sezzle,greenhouse,sezzle,7996052003,Legal Intern,"Bogota, Colombia",https://job-boards.greenhouse.io/sezzle/jobs/7996052003,2026-09-16T11:24:13-04:00,2026-09-21T16:33:41-05:00,,no,titulo fuera de perfil,desarrollo,,,,nueva,
65,greenhouse:sezzle:7793170003,sezzle:managerregulatoryreporting,Sezzle,greenhouse,sezzle,7793170003,"Manager, Regulatory Reporting","United States, Remote",https://job-boards.greenhouse.io/sezzle/jobs/7793170003,2026-07-02T17:12:19-04:00,2026-09-21T16:33:41-05:00,,no,titulo fuera de perfil,desarrollo,,,,nueva,
66,greenhouse:sezzle:6549663003,sezzle:marketingandcommunicationsinterncolombia,Sezzle,greenhouse,sezzle,6549663003,Marketing and Communications Intern (Colombia),"Bogota, Colombia",https://job-boards.greenhouse.io/sezzle/jobs/6549663003,2025-04-22T12:08:17-04:00,2026-09-21T16:33:41-05:00,,no,titulo fuera de perfil,desarrollo,,,,nueva,
67,greenhouse:sezzle:7977733003,sezzle:marketinggrowthanalyticsoperationsintern,Sezzle,greenhouse,sezzle,7977733003,Marketing Growth Analytics & Operations Intern,"Mexico, Remote",https://job-boards.greenhouse.io/sezzle/jobs/7977733003,2026-08-25T20:26:46-04:00,2026-09-21T16:33:41-05:00,,no,titulo fuera de perfil,automatizacion,,,,nueva,
68,greenhouse:sezzle:7977732003,sezzle:marketinggrowthanalyticsoperationsintern,Sezzle,greenhouse,sezzle,7977732003,Marketing Growth Analytics & Operations Intern,"Argentina, Remote",https://job-boards.greenhouse.io/sezzle/jobs/7977732003,2026-08-25T20:25:02-04:00,2026-09-21T16:33:41-05:00,,no,titulo fuera de perfil,automatizacion,,,,nueva,
69,greenhouse:sezzle:7977726003,sezzle:marketinggrowthanalyticsoperationsintern,Sezzle,greenhouse,sezzle,7977726003,Marketing Growth Analytics & Operations Intern,"Bogota, Colombia",https://job-boards.greenhouse.io/sezzle/jobs/7977726003,2026-08-25T20:22:37-04:00,2026-09-21T16:33:41-05:00,,no,titulo fuera de perfil,automatizacion,,,,nueva,
70,greenhouse:sezzle:7977735003,sezzle:marketinggrowthanalyticsoperationsintern,Sezzle,greenhouse,sezzle,7977735003,Marketing Growth Analytics & Operations Intern,Peru,https://job-boards.greenhouse.io/sezzle/jobs/7977735003,2026-08-25T20:27:23-04:00,2026-09-21T16:33:41-05:00,,no,titulo fuera de perfil,automatizacion,,,,nueva,
71,greenhouse:sezzle:7977740003,sezzle:marketinggrowthcommunicationsintern,Sezzle,greenhouse,sezzle,7977740003,Marketing Growth & Communications Intern,"Mexico, Remote",https://job-boards.greenhouse.io/sezzle/jobs/7977740003,2026-08-25T20:33:06-04:00,2026-09-21T16:33:41-05:00,,no,titulo fuera de perfil,desarrollo,,,,nueva,
72,greenhouse:sezzle:7977728003,sezzle:marketinggrowthcommunicationsintern,Sezzle,greenhouse,sezzle,7977728003,Marketing Growth & Communications Intern,"Bogota, Colombia",https://job-boards.greenhouse.io/sezzle/jobs/7977728003,2026-08-25T20:29:29-04:00,2026-09-21T16:33:41-05:00,,no,titulo fuera de perfil,desarrollo,,,,nueva,
73,greenhouse:sezzle:7977741003,sezzle:marketinggrowthcommunicationsintern,Sezzle,greenhouse,sezzle,7977741003,Marketing Growth & Communications Intern,Peru,https://job-boards.greenhouse.io/sezzle/jobs/7977741003,2026-08-25T20:33:08-04:00,2026-09-21T16:33:41-05:00,,no,titulo fuera de perfil,desarrollo,,,,nueva,
74,greenhouse:sezzle:7977739003,sezzle:marketinggrowthcommunicationsintern,Sezzle,greenhouse,sezzle,7977739003,Marketing Growth & Communications Intern,"Argentina, Remote",https://job-boards.greenhouse.io/sezzle/jobs/7977739003,2026-08-25T20:30:38-04:00,2026-09-21T16:33:41-05:00,,no,titulo fuera de perfil,desarrollo,,,,nueva,
75,greenhouse:sezzle:6110227003,sezzle:mobileengineerargentinaalllevels,Sezzle,greenhouse,sezzle,6110227003,"Mobile Engineer (Argentina, All Levels)","Argentina, Remote",https://job-boards.greenhouse.io/sezzle/jobs/6110227003,2024-09-05T13:17:16-04:00,2026-09-21T16:33:41-05:00,,no,ubicacion fuera de Colombia/LATAM/remoto global,desarrollo,,,,nueva,
76,greenhouse:sezzle:7541139003,sezzle:mobileengineerbrazilalllevels,Sezzle,greenhouse,sezzle,7541139003,"Mobile Engineer (Brazil, All Levels)","Brazil, Remote",https://job-boards.greenhouse.io/sezzle/jobs/7541139003,2025-11-26T17:43:10-05:00,2026-09-21T16:33:41-05:00,,no,ubicacion fuera de Colombia/LATAM/remoto global,desarrollo,,,,nueva,
